Item No.	PART NUMBER	revision	QTY	Description	Material	Finish	Treatment	Colour	Comments	SecondProcess	Third Process	Author	Approved	Asset	SW-Folder Name(Folder Name)	SW-File Name(File Name)	SW-Configuration Name(Configuration Name)	Distributor	mass	DrawnDate	OEM_Internet	OEM_Supplier	OEM_Data_Sheet	Qb_Code	QB_Catergory	Sheet Metal Thickness	Spare_Part	Supplier_Part_Number
1.3.4.1.25.2	          AWS-A-002436	1	2	08B_1_55MM BORE SPROCKET	REFER DATA SHEET	NATURAL			PURCHASE			CL	DG		C:\AWS PDM\aws\	AWS-A-002436	Default		2.3	20/08/2020							YES	
1.3.4.1.25.2.1	            OEM-08B-1-37	-	1	PILOT BORE SPROCKET	MS	NATURAL			PURCHASE			MF			C:\AWS PDM\OEM\1051. Transmission\	OEM-08B-1-37	Default		2.3	06/06/2019	https://www.aimsindustrial.com.au/08b-1-37-tooth-bs-1-2-pitch-simplex-pilot-bore-spr	AIMS INDUSTRIAL	W:\Solidworks\Proprietry\3 QBooks Cat\OEM Data Sheets\1051_Aims Industrial-Roller Chain Sprocket Size Chart.pdf	1051	Transmission		YES	08B-1-37
1.3.4.1.25.3	          OEM-07-30-55	-	2	CHALLENGE SHAFT LOCK 07 SERIES - SHAFT Ø30	REFER DATA SHEET	NATURAL			PURCHASE			MF			C:\AWS PDM\OEM\1051. Transmission\	OEM-07	OEM-07-30-55	BEARING WHOLESALERS	0.3	06/06/2019	https://www.challengept.com/products/product.php	BEARING WHOLESALERS	W:\Solidworks\Proprietry\3 QBooks Cat\OEM Data Sheets\1051_Challenge Shaft Locks 07 series.PNG	1051	Transmission		-	07
1.3.4.1.25.4	          OEM-UCP206	-	2	BEARING UNIT UCP206	REFER DATA SHEET	NATURAL			PURCHASE			MF			C:\AWS PDM\OEM\1051. Transmission\	OEM-UCP	OEM-UCP206		0.2492	23/04/2019	http://bearingwholesalers.com.au/product-listing/	BEARING WHOLESALERS		1051	Transmission		-	UCP
1.3.4.1.26	        AWS-Z-002714	1	1	NORD RIGHT ANGLED HELICAL WORM DRIVE	REFER DATA SHEET	NATURAL			PURCHASE			CL	DG		C:\AWS PDM\aws\	AWS-Z-002714	Default		6.0	20/08/2020							-	
1.3.4.1.26.1	          OEM-SK02050AZBD-80S4TF	1	1	NORD RIGHT ANGLED HELICAL WORM DRIVE	REFER DATA SHEET	NATURAL			PURCHASE			MJF			C:\AWS PDM\OEM\1021. Geared Motor\	OEM-SK02050AZBD-80S4TF	Default		6.0	15/07/2019	https://www.nord.com/cms/en/product_catalogue/geared_motors/helical_inline_geared_motors/helical_inline_geared_motors.jsp	NORD	W:\Solidworks\Proprietry\3 QBooks Cat\OEM Data Sheets\1021_Nord Helical Worm Drive Data Sheet_SK020.pdf	1021	Geared Motor		YES	SK02050AZBD-80S/4TF
1.3.4.1.27	        AWS-A-001652	1	1	TORQUE ARM BUSH	MS - 1045 Grade	NATURAL			MACHINE			CL	CL		C:\AWS PDM\aws\	AWS-A-001652	Default		0.6	19/08/2020							-	
1.3.4.1.28	        AWS-A-001609	2	4	CHAIN GUARD PLATE - SHORT	MS - GR250	ZINC			LASERCUT	MACHINE		CL	CL		C:\AWS PDM\aws\	AWS-A-001609	Default		0.1	19/08/2020						6	-	
1.3.4.1.28.1	          		1	Sheet	MS - GR250												Default		0.1							6		
1.3.4.1.29	        OEM-EM300Z	-	1	EZYMESH CABLE MESH	Plain Carbon Steel	NATURAL			PURCHASE			MF			C:\AWS PDM\OEM\1058. Electrical\	OEM-EM300Z	Default		6.3	21/03/2019	https://www.ezystrut.com.au/	EZYSTRUT	file:///W:/Solidworks/Proprietry/3%20QBooks%20Cat/OEM%20Data%20Sheets/1058_EzyStrut-Cable-Support-Systems-Catalogue-web.pdf	1058	Electrical		-	EM300Z
1.3.4.1.30	        OEM-SDV2212	-	1	200X200X120 TERMINAL BOX	MS	NATURAL			PURCHASE			DMG			C:\AWS PDM\OEM\1016. Enclosure\	OEM-SDV2212	Default	ELTECH	1.4	21/03/2019	https://eltech.com.au/product/mild-steel-terminal-box	ELTECH	W:\Solidworks\Proprietry\3 QBooks Cat\OEM Data Sheets\1016_ELTECH-Product-Specification-Sheet-ESDVB.01	1016	Enclosure		-	SDV2212
1.3.4.1.31	        AS 1112.1 S1 - M12-D-NMS		12	M12 HEX NUT ZINC	Mild Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\nuts\hex nuts\	hexagon nut style 1 (grades a and b)_as	AS 1112.1 S1 - M12-D-NMS		0.017			Costless Bolts						
1.3.4.1.32	        GB_FASTENER_WASHER_WSLW 12SS		8	M12 SPRING WASHER STAINLESS STEEL	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\spring lock washers\	wave single coil spring lock washers_gb	GB_FASTENER_WASHER_WSLW 12SS		0.00			Costless Bolts						
1.3.4.1.33	        AS 1111.2 - M6 x 16-NNZP		9	M6 x 16 MACHINE SCREW ZP	Zinc Plate				Fasteners						C:\AWS PDM\Solidworks Data\Toolbox\browser\AWS Toolbox\bolts and screws\machine screws\	hex screw gradec_1_as	AS 1111.2 - M6 x 16-NNZP		0.0			Costless Bolts						
1.3.4.1.34	        GB_FASTENER_WASHER_WSLW 6SS		9	M6 Spring Washer Stainless Steel	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\spring lock washers\	wave single coil spring lock washers_gb	GB_FASTENER_WASHER_WSLW 6SS		0.00			Costless Bolts						
1.3.4.1.35	        AS 1237.1 N - 12SS		4	M12 FLAT WASHER STAINLESS STEEL	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\plain washers\	plain washer - normal_1_as	AS 1237.1 N - 12SS		0.0			Costless Bolts						
1.3.4.1.36	        AS 1112.1 S1 - M16-D-NSS		17	M16 HEX NUT STAINLESS STEEL	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\nuts\hex nuts\	hexagon nut style 1 (grades a and b)_as	AS 1112.1 S1 - M16-D-NSS		0.040			Costless Bolts						
1.3.4.1.37	        AS 1237.1 S - 16SS		8	M16 x 2.5 Thick Flat Washer - SS	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\plain washers\	plain washer - small_1_as	AS 1237.1 S - 16SS		0.01			Costless Bolts						
