Item No.	PART NUMBER	revision	QTY	Description	Material	Finish	Treatment	Colour	Comments	SecondProcess	Third Process	Author	Approved	Asset	SW-Folder Name(Folder Name)	SW-File Name(File Name)	SW-Configuration Name(Configuration Name)	Distributor	mass	DrawnDate	OEM_Internet	OEM_Supplier	OEM_Data_Sheet	Qb_Code	QB_Catergory	Sheet Metal Thickness	Spare_Part	Supplier_Part_Number
1	J200684	1	1	CRYER MALT GA								DMG	 		C:\AWS PDM\JOBS\Cryer Malt\J200684 Semi Auto Bagging Line\	J200684	Default		0.0	07/05/2021							-	
1.1	  AWS-Z-009041		1	FEED LINE ASSEMBLY	PER BOM	NATURAL			ASSEMBLY						C:\AWS PDM\AWS\007000-014000\	AWS-Z-009041	Default		3172.4	11/05/2021							-	
1.1.1	    AWS-Z-009318		1	BAGGING LINE CONV ASSY	PER BOM	NATURAL			ASSEMBLY			FQ			C:\AWS PDM\AWS\007000-014000\	AWS-Z-009318	Default		556.5	25/05/2021							-	
1.1.1.1	      AWS-Z-009320		1	ACCUMULATION CONVEYOR ASSEMBLY	AS PER BOM	NATURAL			ASSEMBLY			FQ			C:\AWS PDM\AWS\007000-014000\	AWS-Z-009320	Default		97.4	25/05/2021							-	
1.1.1.1.1	        AWS-B-003101	3	1	WELDED CROSS MEMBER	AS PER BOM	ZINC			WELDING			MF	CL		C:\AWS PDM\AWS\	AWS-B-003101	Default		11.2	30/01/2020							-	
1.1.1.1.1.1	          AWS-A-003102	3	1	CROSS MEMEBER SECTION	MS - GR250	NATURAL			CUTTING			MF	CL		C:\AWS PDM\AWS\	AWS-A-003102	Default<As Machined>		4.8	30/01/2020							-	
1.1.1.1.1.1.1	            		1	100x100x5 SHS	AS 1163-C350LO												Default<As Machined>		4.8									
1.1.1.1.1.2	          AWS-A-003103	4	2	CROSS MEMBER PLATE	MS - GR250	NATURAL			LASERCUT			MF	CL		C:\AWS PDM\AWS\	AWS-A-003103	Default		3.2	30/01/2020						10	-	
1.1.1.1.1.2.1	            		1	Sheet	MS - GR250												Default		3.2							10		
1.1.1.1.2	        AWS-Z-003112	3	1	CONVEYOR HEAD ASSEMBLY	AS PER BOM	NATURAL			ASSEMBLY			MF	CL		C:\AWS PDM\AWS\	AWS-Z-003112	Default		47.0	30/01/2020							-	
1.1.1.1.2.1	          AWS-B-003219	4	1	CONVEYOR HEAD PAINTED	AS PER BOM	POWDERCOAT		PEARL WHITE - GLOSS: 236,242,241	PAINT			MF	CT1		C:\AWS PDM\AWS\	AWS-B-003219	Default		8.6	30/01/2020							-	
1.1.1.1.2.1.1	            AWS-B-003218	4	1	CONVEYOR HEAD WELDMENT	AS PER BOM	NATURAL			WELDING			MF	CT1		C:\AWS PDM\AWS\	AWS-B-003218	Default		8.6	30/01/2020							-	
1.1.1.1.2.1.1.1	              AWS-A-002963	5	1	SLIDER DECK HEAD	MS - GR250	NATURAL			LASERCUT	FOLDING		MF	CL		C:\AWS PDM\AWS\	AWS-A-002963	Default		8.3	30/01/2020						3	-	
1.1.1.1.2.1.1.1.1	                		1	Sheet	MS - GR250												Default		8.3							3		
1.1.1.1.2.1.1.2	              DIN 929-M6-N		4	M6 HEX WELD NUT MS - DIN929	Material <not specified>	NATURAL			Fasteners						C:\AWS PDM\Solidworks Data\Toolbox\browser\AWS Toolbox\nuts\Weld Nuts\	weld nut 01_1_din	DIN 929-M6-N		0.0			Costless Bolts						
1.1.1.1.2.1.1.3	              AS 1111.2 - M12 x 45-NNSS		4	M12 x 45 MACHINE SCREW STAINLESS STEEL	Stainless Steel				Fasteners						C:\AWS PDM\Solidworks Data\Toolbox\browser\AWS Toolbox\bolts and screws\machine screws\	hex screw gradec_1_as	AS 1111.2 - M12 x 45-NNSS		0.1			Costless Bolts						
1.1.1.1.2.2	          AWS-B-003113	6	1	WBC HEAD DRUM LAGGED	AS PER BOM	NATURAL			casting			MF	CL		C:\AWS PDM\AWS\	AWS-B-003113	Default		11.4	30/01/2020							-	
1.1.1.1.2.2.1	            AWS-A-003114	4	1	WBC 300 DRIVE DRUM	MS - GR250	NATURAL			welding	machine		MF	CL		C:\AWS PDM\AWS\	AWS-A-003114	Default<As Machined>		9.8	30/01/2020							NO	
1.1.1.1.2.2.1.1	              		1	40mm shaft	MS - GR250				Machined								Default<As Machined>		2.7									
1.1.1.1.2.2.1.2	              		2	6mm Disc	MS - GR250				Laser Cut								Default<As Machined>		0.6									
1.1.1.1.2.2.1.3	              		1	DN100 Pipe SCh40s	MS - GR250				Cut to Length								Default<As Machined>		5.9									
1.1.1.1.2.3	          AWS-B-003310	3	1	MOTOR TOUQUE ARM PAINTED	AS PER BOM	POWDERCOAT		PEARL WHITE - GLOSS: 236,242,241	PAINT			MF	CT1		C:\AWS PDM\AWS\	AWS-B-003310	Default		1.9	30/01/2020							-	
1.1.1.1.2.3.1	            AWS-A-003134	3	1	MOTOR TORQUE ARM	MS - GR250	NATURAL			LASERCUT			MF	CT1		C:\AWS PDM\AWS\	AWS-A-003134	Default		1.9	30/01/2020						8	-	
1.1.1.1.2.3.1.1	              		1	Sheet	MS - GR250												Default		1.9							8		
1.1.1.1.2.4	          AWS-A-003214	4	2	CONVEYOR CHEVRON TOP	UHMWPE	NATURAL			PROFILE CUT			MF	 		C:\AWS PDM\AWS\	AWS-A-003214	Default		0.7	30/01/2020						10	-	
1.1.1.1.2.4.1	            		1	Sheet	UHMWPE												Default		0.7							10		
1.1.1.1.2.5	          AWS-A-003236	3	1	TORQUE ARM BUSH	MS - C350LO	NATURAL			MACHINE			MF	CT1		C:\AWS PDM\AWS\	AWS-A-003236	Default		0.7	30/01/2020							-	
1.1.1.1.2.6	          AWS-Z-003235	3	1	CONVEYOR HELICAL-WORM GEARMOTOR	AS PER BOM	NATURAL			PURCHASE			MF	CT1		C:\AWS PDM\AWS\	AWS-Z-003235	270 Deg		21.0	30/01/2020							-	
1.1.1.1.2.6.1	            OEM-SA47_TDRN80MK4	-	1	HELICAL-WORM GEARMOTOR	AS PER DATA SHEET	NATURAL			PURCHASE			DMG			C:\AWS PDM\OEM\1021. Geared Motor\	OEM-SA47_TDRN80MK4	270 deg	SEW	21.0	19/09/2019	https://www.sew-eurodrive.com.au/home.html	SEW	file:///W:/Solidworks/Proprietry/3%20QBooks%20Cat/OEM%20Data%20Sheets/1021_SA47_TDRN80MK4_ProductData_en_DE.pdf	1021	Geared Motor		YES	SA47_TDRN80MK4
1.1.1.1.2.7	          AWS-A-003294	1	4	M16 TO M12 X 13 BEARING BOLT REDUCER SLEEVE	Delrin - White	NATURAL			MACHINE			MF	CT1		C:\AWS PDM\AWS\	AWS-A-003294	Default		0.0	30/01/2020							-	
1.1.1.1.2.8	          OEM-UCFL205	-	2	BEARING UCFL205	Gray Cast Iron	NATURAL			PURCHASE			DMG			C:\AWS PDM\OEM\1003. Bearings\	OEM-UCFL	OEM-UCFL205		0.72	20/03/2019	http://bearingwholesalers.com.au/product-listing/	BEARING WHOLESALERS	https://cad.timken.com/viewitems/u-series---two-bolt-flanged-units/ucfl-two-bolt-flange-units	1051	Transmission		YES	UCFL205
1.1.1.1.2.9	          B18.3.5M - 6 x 1.0 x 20 Socket FCHS  -- 20NSS		4	CSK M6 X 20 SS SOCKET HEAD SCREW 	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\bolts and screws\socket head screws\	socket countersunk head screw_1_am	B18.3.5M - 6 x 1.0 x 20 Socket FCHS  -- 20NSS		0.006			Costless Bolts						
1.1.1.1.2.10	          AS 1237.1 N - 12MS		4	M12 WASHER ZINC	Mild Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\plain washers\	plain washer - normal_1_as	AS 1237.1 N - 12MS		0.0			Costless Bolts						
1.1.1.1.2.11	          GB_FASTENER_WASHER_WSLW 12ZP		4	M12 SPRING WASHER Z/P	Zinc Plate				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\spring lock washers\	wave single coil spring lock washers_gb	GB_FASTENER_WASHER_WSLW 12ZP		0.00			Costless Bolts						
1.1.1.1.2.12	          AS 1112.1 S1 - M12-D-NZP		4	M12 HEX NUT Z/P	316 SS				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\nuts\hex nuts\	hexagon nut style 1 (grades a and b)_as	AS 1112.1 S1 - M12-D-NZP		0.017			Costless Bolts						
1.1.1.1.2.13	          AS 1237.1 N - 10ZP		2	M10 FLAT WASHER Z/P	Zinc Plate				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\plain washers\	plain washer - normal_1_as	AS 1237.1 N - 10ZP		0.0			Costless Bolts						
1.1.1.1.2.14	          GB_HEXAGON_TYPE9 M10-SSS		1	M10 Nyloc Nut - SS	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\nuts\nyloc\	prevailing torque type style 1_gb	GB_HEXAGON_TYPE9 M10-SSS		0.0			Costless Bolts						
1.1.1.1.2.15	          AS 1111.1 - M10 x 120 x 26-NNZP		1	M10 X 120 X 26 HEX HEAD BOLT ZP	Zinc Plate				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\bolts and screws\hex head\	hex bolt gradec_1_as	AS 1111.1 - M10 x 120 x 26-NNZP		0.0852			Costless Bolts						
1.1.1.1.2.16	          OEM-ISO325PYS		1	ISO ENCLOSED SWITCH 3P 25A		NATURAL			PURCHASE			DMG			C:\AWS PDM\OEM\1058. Electrical\	OEM-ISO325PYS	Default	REXEL	0.4	26/07/2021	https://www.nhp.com.au/Catalogs/NHP_AU_Catalog/NHP_AU_Catalog-Categories/NHP_AU_Catalog-217587/NHP_AU_Catalog-387/NHP_AU_Catalog-764/NHP_AU_Catalog-856/ISO325PYS	NHP	W:\Solidworks\Proprietry\3 QBooks Cat\OEM Data Sheets\ISO325PYS-227685-datasheet.pdf	1058	Electrical		YES	ISO325PYS
1.1.1.1.3	        AWS-Z-002971	4	1	CONVEYOR TAKE UP ASSEMBLY	AS PER BOM	NATURAL			ASSEMBLY			DG	CT1		C:\AWS PDM\AWS\	AWS-Z-002971	Flex		30.2	30/01/2020							-	
1.1.1.1.3.1	          AWS-B-003226	4	1	CONVEYOR TAIL PAINTED	AS PER BOM	POWDERCOAT		PEARL WHITE - GLOSS: 236,242,241	PAINT			MF	CT1		C:\AWS PDM\AWS\	AWS-B-003226	Default		8.3	30/01/2020							-	
1.1.1.1.3.1.1	            AWS-B-003225	4	1	CONVEYOR TAIL WELDMENT	AS PER BOM	NATURAL			WELDING			MF	CT1		C:\AWS PDM\AWS\	AWS-B-003225	Default		8.3	30/01/2020							-	
1.1.1.1.3.1.1.1	              AWS-A-002964	4	1	TAKE UP END	MS - GR250	NATURAL			LASERCUT	FOLDING		MF	CT1		C:\AWS PDM\AWS\	AWS-A-002964	Default		8.2	30/01/2020						3	-	
1.1.1.1.3.1.1.1.1	                		1	Sheet	MS - GR250												Default		8.2							3		
1.1.1.1.3.1.1.2	              DIN 929-M6-N		6	M6 HEX WELD NUT MS - DIN929	Material <not specified>	NATURAL			Fasteners						C:\AWS PDM\Solidworks Data\Toolbox\browser\AWS Toolbox\nuts\Weld Nuts\	weld nut 01_1_din	DIN 929-M6-N		0.0			Costless Bolts						
1.1.1.1.3.2	          AWS-Z-003203	2	2	310 X 80 ROLLER ASSEMBLY	AS PER BOM	NATURAL			ASSEMBLY			MF	CT1		C:\AWS PDM\AWS\	AWS-Z-003203	Default		4.1	30/01/2020							-	
1.1.1.1.3.2.1	            AWS-A-003204	3	1	ROLLER SHAFT	SS304	NATURAL			MACHINE			MF	CT1		C:\AWS PDM\AWS\	AWS-A-003204	Default		2.2	30/01/2020							-	
1.1.1.1.3.2.2	            AWS-A-003090	4	1	310 X 80 ROLLER	Acetal White	NATURAL			MACHINE			MF	CT1		C:\AWS PDM\AWS\	AWS-A-003090	Default		1.6	30/01/2020							-	
1.1.1.1.3.2.3	             6006-2RS		2	RADIAL DEEP GROOVE BEARING D30 X d55 X W13	Stainless Steel				Purchase						C:\AWS PDM\Solidworks Data\Toolbox\browser\AWS Toolbox\bearings\ball bearings\	radial ball bearing_68_1_din	DIN 625 - 6006 - 14,SI,NC,14_68		140.602			Bearing Wholesalers					Yes	
1.1.1.1.3.2.4	            Circlip DIN 471 - 30 x 1.5SS		2	EXT CIRCLIP 30 DIA X 1.5 STAINLESS STEEL	Stainless Steel				Fasteners						C:\AWS PDM\Solidworks Data\Toolbox\browser\AWS Toolbox\retaining rings\external\	circlip for shafts normal_1_din	Circlip DIN 471 - 30 x 1.5SS		0.000			Costless Bolts						
1.1.1.1.3.3	          AWS-Z-003296	2	1	310 X 80 TAIL ROLLER ASSEMBLY	AS PER BOM	NATURAL			ASSEMBLY			MF	CT1		C:\AWS PDM\AWS\	AWS-Z-003296	Default		4.0	30/01/2020							-	
1.1.1.1.3.3.1	            AWS-A-003297	3	1	TAIL ROLLER SHAFT	SS304	NATURAL			MACHINE			MF	CT1		C:\AWS PDM\AWS\	AWS-A-003297	Default		2.0	30/01/2020							-	
1.1.1.1.3.3.2	            AWS-A-003090	4	1	310 X 80 ROLLER	Acetal White	NATURAL			MACHINE			MF	CT1		C:\AWS PDM\AWS\	AWS-A-003090	Default		1.6	30/01/2020							-	
1.1.1.1.3.3.3	             6006-2RS		2	RADIAL DEEP GROOVE BEARING D30 X d55 X W13	Stainless Steel				Purchase						C:\AWS PDM\Solidworks Data\Toolbox\browser\AWS Toolbox\bearings\ball bearings\	radial ball bearing_68_1_din	DIN 625 - 6006 - 14,SI,NC,14_68		140.602			Bearing Wholesalers					Yes	
1.1.1.1.3.3.4	            Circlip DIN 471 - 30 x 1.5SS		2	EXT CIRCLIP 30 DIA X 1.5 STAINLESS STEEL	Stainless Steel				Fasteners						C:\AWS PDM\Solidworks Data\Toolbox\browser\AWS Toolbox\retaining rings\external\	circlip for shafts normal_1_din	Circlip DIN 471 - 30 x 1.5SS		0.000			Costless Bolts						
1.1.1.1.3.3.5	            AS 1111.2 - M6 x 45-NNSS		2	M6 x 45 MACHINE SCREW STAINLESS STEEL	Stainless Steel				Fasteners						C:\AWS PDM\Solidworks Data\Toolbox\browser\AWS Toolbox\bolts and screws\machine screws\	hex screw gradec_1_as	AS 1111.2 - M6 x 45-NNSS		0.0			Costless Bolts						
1.1.1.1.3.3.6	            AS 1112.1 S1 - M6-D-NSS		2	M6 HEX NUT - SS	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\nuts\hex nuts\	hexagon nut style 1 (grades a and b)_as	AS 1112.1 S1 - M6-D-NSS		0.003			Costless Bolts						
1.1.1.1.3.4	          AWS-B-003094	3	1	TAKE UP ASSEMBLYSUB PLATE	AS PER BOM	ZINC			WELDING			MF	CT1		C:\AWS PDM\AWS\	AWS-B-003094	Default		2.6	30/01/2020							-	
1.1.1.1.3.4.1	            AWS-A-003093	3	1	TAKE UP MOUNTING PLATE	MS - GR250	NATURAL			LASERCUT			MF	CT1		C:\AWS PDM\AWS\	AWS-A-003093	Default		2.3	30/01/2020						8	-	
1.1.1.1.3.4.1.1	              		1	Sheet	MS - GR250												Default		2.3							8		
1.1.1.1.3.4.2	            AWS-A-003232	3	2	JACKING PLATE	MS - GR250	NATURAL			LASERCUT			MF	CT1		C:\AWS PDM\AWS\	AWS-A-003232	Default		0.1	30/01/2020						8	-	
1.1.1.1.3.4.2.1	              		1	Sheet	MS - GR250												Default		0.1							8		
1.1.1.1.3.4.3	            AWS-A-003231	3	2	SCREW END JACKING PLATE	MS - GR250	NATURAL			LASERCUT			MF	CT1		C:\AWS PDM\AWS\	AWS-A-003231	Default		0.1	30/01/2020						8	-	
1.1.1.1.3.4.3.1	              		1	Sheet	MS - GR250												Default		0.1							8		
1.1.1.1.3.5	          AWS-B-003081	3	1	TAKE UP ASSEMBLYSUB PLATE	AS PER BOM	ZINC			WELDING			MF	CT1		C:\AWS PDM\AWS\	AWS-B-003081	Default		3.1	30/01/2020							-	
1.1.1.1.3.5.1	            AWS-A-003080	3	1	TAKE UP MOUNTING PLATE	MS - GR250	NATURAL			LASERCUT			MF	CT1		C:\AWS PDM\AWS\	AWS-A-003080	Default		2.8	30/01/2020						8	-	
1.1.1.1.3.5.1.1	              		1	Sheet	MS - GR250												Default		2.8							8		
1.1.1.1.3.5.2	            AWS-A-003079	3	2	JACKING PLATE	MS - GR250	NATURAL			LASERCUT			MF	CT1		C:\AWS PDM\AWS\	AWS-A-003079	Default		0.1	30/01/2020						8	-	
1.1.1.1.3.5.2.1	              		1	Sheet	MS - GR250												Default		0.1							8		
1.1.1.1.3.5.3	            AWS-A-003078	3	2	SCREW END JACKING PLATE	MS - GR250	NATURAL			LASERCUT			MF	CT1		C:\AWS PDM\AWS\	AWS-A-003078	Default		0.1	30/01/2020						8	-	
1.1.1.1.3.5.3.1	              		1	Sheet	MS - GR250												Default		0.1							8		
1.1.1.1.3.6	          AWS-B-003304	4	4	JACKING BOLTS ASSEMBLY	AS PER BOM	NATURAL			MACHINE			MF	CL	False	C:\AWS PDM\AWS\	AWS-B-003304	Default		0.1	30/01/2020							-	
1.1.1.1.3.6.1	            AWS-A-003305	3	1	CONVEYOR DRUM HEIGHT ADJUSTER	12mm Stainless Steel Allthread	NATURAL			MACHINE			MF	CT1		C:\AWS PDM\AWS\	AWS-A-003305	Default		0.1	30/01/2020							-	
1.1.1.1.3.6.2	            AS 1112.1 S1 - M12-D-NSS		1	M12 HEX NUT STAINLESS STEEL	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\nuts\hex nuts\	hexagon nut style 1 (grades a and b)_as	AS 1112.1 S1 - M12-D-NSS		0.017			Costless Bolts						
1.1.1.1.3.6.3	            DIN EN 28752 - 5 x 26 - St		1	M5 X 26 SPRING PIN Z/P											c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\pins\spring\	springspring pin slotted_din	DIN EN 28752 - 5 x 26 - St					Costless Bolts						
1.1.1.1.3.7	          AWS-B-003209	4	2	CONVEYOR TAKEUP COVER - PAINTED	AS PER BOM	POWDERCOAT		PEARL WHITE - GLOSS: 236,242,241	PAINT			MF	CL		C:\AWS PDM\AWS\	AWS-B-003209	Default		1.0	30/01/2020							-	
1.1.1.1.3.7.1	            AWS-A-003099	5	1	COVER	MS - GR250	NATURAL			LASERCUT	FOLDING	WELDING	MF	CL	False	C:\AWS PDM\AWS\	AWS-A-003099	Default		1.0	30/01/2020						2	-	
1.1.1.1.3.7.1.1	              		1	Sheet	MS - GR250												Default		1.0							2		
1.1.1.1.3.8	          AWS-A-003227	4	2	CONVEYOR CHEVRON TOP	UHMWPE	NATURAL			PROFILE CUT			MF	CT1		C:\AWS PDM\AWS\	AWS-A-003227	Default		0.5	30/01/2020						10	-	
1.1.1.1.3.8.1	            		1	Sheet	UHMWPE												Default		0.5							10		
1.1.1.1.3.9	          AWS-B-003299	2	2	DRUM KEEPER PLATE - PAINTED	AS PER BOM	POWDERCOAT		PEARL WHITE - GLOSS: 236,242,241	PAINT			MF	CT1		C:\AWS PDM\AWS\	AWS-B-003299	Default		0.0	30/01/2020							-	
1.1.1.1.3.9.1	            AWS-A-003466	2	1	DRUM KEEPER PLATE	MS - GR250	NATURAL			LASERCUT			MF	CT1		C:\AWS PDM\AWS\	AWS-A-003466	Default		0.0	30/01/2020						3	-	
1.1.1.1.3.9.1.1	              		1	Sheet	MS - GR250												Default		0.0							3		
1.1.1.1.3.10	          AS 1237.1 N - 12ZP		4	M12 FLAT WASHER Z/P	Plain Carbon Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\plain washers\	plain washer - normal_1_as	AS 1237.1 N - 12ZP		0.0			Costless Bolts						
1.1.1.1.3.11	          AS 1237.1 N - 10ZP		6	M10 FLAT WASHER Z/P	Zinc Plate				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\plain washers\	plain washer - normal_1_as	AS 1237.1 N - 10ZP		0.0			Costless Bolts						
1.1.1.1.3.12	          AS 1237.1 N - 8ZP		8	M8 FLAT WASHER Z/P	Mild Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\plain washers\	plain washer - normal_1_as	AS 1237.1 N - 8ZP		0.0			Costless Bolts						
1.1.1.1.3.13	          GB_HEXAGON_TYPE9 M8-SZP		4	M8 NYLOC NUT - Z/P	Zinc Plate				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\nuts\nyloc\	prevailing torque type style 1_gb	GB_HEXAGON_TYPE9 M8-SZP		0.00			Costless Bolts						
1.1.1.1.3.14	          AS 1237.1 N - 6SS		8	M6 FLAT WASHER - SS	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\plain washers\	plain washer - normal_1_as	AS 1237.1 N - 6SS		0.0			Costless Bolts						
1.1.1.1.3.15	          GB_FASTENER_WASHER_WSLW 6SS		8	M6 Spring Washer Stainless Steel	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\spring lock washers\	wave single coil spring lock washers_gb	GB_FASTENER_WASHER_WSLW 6SS		0.00			Costless Bolts						
1.1.1.1.3.16	          B18.3.4M - 6 x 1.0 x 20 SBHCS --NSS		8	M6 X 20 SOCKET BUTTON HEAD CAP SCREW - SS	Stainless Steel				Fasteners						C:\AWS PDM\Solidworks Data\Toolbox\browser\AWS Toolbox\bolts and screws\socket head screws\	socket button head cap screw_1_am	B18.3.4M - 6 x 1.0 x 20 SBHCS --NSS		0.006			Costless Bolts						
1.1.1.1.3.17	          B18.3.5M - 6 x 1.0 x 20 Socket FCHS  -- 20NSS		4	CSK M6 X 20 SS SOCKET HEAD SCREW 	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\bolts and screws\socket head screws\	socket countersunk head screw_1_am	B18.3.5M - 6 x 1.0 x 20 Socket FCHS  -- 20NSS		0.006			Costless Bolts						
1.1.1.1.3.18	          GB_FASTENER_WASHER_WSLW 10ZP		6	M10 SPRING WASHER Z/P	Zinc Plate				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\spring lock washers\	wave single coil spring lock washers_gb	GB_FASTENER_WASHER_WSLW 10ZP		0.00			Costless Bolts						
1.1.1.1.3.19	          AS 1111.2 - M10 x 20-NNZP		6	M10 x 20 MACHINE SCREW - ZP	Zinc Plate				Fasteners						C:\AWS PDM\Solidworks Data\Toolbox\browser\AWS Toolbox\bolts and screws\machine screws\	hex screw gradec_1_as	AS 1111.2 - M10 x 20-NNZP		0.0246			Costless Bolts						
1.1.1.1.4	        AWS-A-003287	3	2	CL RETURN BELT SLIDE	Acetal White	NATURAL			MACHINE			MF	CT1		C:\AWS PDM\AWS\	AWS-A-003287	Default		0.4	30/01/2020						30	-	
1.1.1.1.4.1	          		1	Sheet	Acetal White												Default		0.4							30		
1.1.1.1.5	        B18.3.5M - 6 x 1.0 x 16 Socket FCHS  -- 16NSS		4	CSK M6x16 SOCKET HEAD SCREW - SS	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\bolts and screws\socket head screws\	socket countersunk head screw_1_am	B18.3.5M - 6 x 1.0 x 16 Socket FCHS  -- 16NSS		4.673			Costless Bolts						
1.1.1.1.6	        AS 1237.1 N - 12SS		1	M12 FLAT WASHER STAINLESS STEEL	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\plain washers\	plain washer - normal_1_as	AS 1237.1 N - 12SS		0.0			Costless Bolts						
1.1.1.1.7	        GB_FASTENER_WASHER_WSLW 12SS		1	M12 SPRING WASHER STAINLESS STEEL	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\spring lock washers\	wave single coil spring lock washers_gb	GB_FASTENER_WASHER_WSLW 12SS		0.00			Costless Bolts						
1.1.1.1.8	        AS 1111.2 - M12 x 30-NNSS		1	M12 x 30 MACHINE SCREW STAINLESS STEEL	Stainless Steel				Fasteners						C:\AWS PDM\Solidworks Data\Toolbox\browser\AWS Toolbox\bolts and screws\machine screws\	hex screw gradec_1_as	AS 1111.2 - M12 x 30-NNSS		0.0			Costless Bolts						
1.1.1.1.9	        AWS-A-003928	1	1	KICKER CONVEYOR BELT '300'	Ropanyl EM 8/2 00+02 LIGHT BLUE 	NATURAL			PURCHASE			DG	DG		C:\AWS PDM\AWS\	AWS-A-003928	Min Belt Length		1.4	13/11/2019							-	
1.1.1.1.10	        AWS-Z-010211		1	PE REFLECTIVE KIT	PER BOM	NATURAL			ASSEMBLY						C:\AWS PDM\AWS\007000-014000\	AWS-Z-010211	Default		0.1	18/08/2021							-	
1.1.1.1.10.1	          AWS-A-010215	1	2	CONVEYOR PE BRACKET	SS304	NATURAL			LASERCUT			FQ	CL		C:\AWS PDM\AWS\007000-014000\	AWS-A-010215	Default		0.1	18/08/2021						2	-	
1.1.1.1.10.1.1	            		1	Sheet	SS304												Default		0.1							2		
1.1.1.1.10.2	          OEM-E3FA-TP21-D	1	1	SENSOR THROUGH BEAM - RECEIVER	AS PER BOM	NATURAL			PURCHASE			DMG	 		C:\AWS PDM\OEM\1046. Sensors\	OEM-E3FA-TP21-D	Default	OMRON	11.32	02/10/2020				1046	Sensors		YES	E3FA-TP21-D
1.1.1.1.10.3	          OEM-E3FA-TP21-L	1	1	SENSOR, THROUGH BEAM, EMMITER		NATURAL			PURCHASE			DMG	 		C:\AWS PDM\OEM\1046. Sensors\	OEM-E3FA-TP21-L	Default	OMRON		02/10/2020				1046	Sensors		YES	E3FA-TP21-L
1.1.1.1.11	        AWS-B-003464	3	1	TAKE UP GUARD	AS PER BOM	NATURAL			WELDING			MF	CT1		C:\AWS PDM\AWS\	AWS-B-003464	Default		3.3	30/01/2020							-	
1.1.1.1.11.1	          AWS-A-003289	3	1	CONVEYOR TAIL GUARD	MS - GR250	NATURAL			LASERCUT	FOLDING		MF	CT1		C:\AWS PDM\AWS\	AWS-A-003289	Default		3.2	30/01/2020						3	-	
1.1.1.1.11.1.1	            		1	Sheet	MS - GR250												Default		3.2							3		
1.1.1.1.11.2	          AWS-A-003465	2	4	TAPPING TAG	MS - GR250	NATURAL			lasercut			MF	 		C:\AWS PDM\AWS\	AWS-A-003465	Default		0.0	30/01/2020						4	-	
1.1.1.1.11.2.1	            		1	Sheet	MS - GR250												Default		0.0							4		
1.1.1.1.12	        AWS-B-003308	1	2	HEAD/TAIL GUARD - PAINTED	AS PER BOM	POWDERCOAT		SAFETY YELLOW - GLOSS: 241,190,36	PAINT			MF	CT1		C:\AWS PDM\AWS\	AWS-B-003308	Default		1.6	14/02/2020							-	
1.1.1.1.12.1	          AWS-B-003307	1	1	HEAD/TAIL GUARD WELDMENT	AS PER BOM	NATURAL			WELDING			MF	CT1		C:\AWS PDM\AWS\	AWS-B-003307	Default		1.6	14/02/2020							-	
1.1.1.1.12.1.1	            AWS-A-003306	1	1	HEAD/TAIL GUARD	MS - GR250	NATURAL			LASERCUT			MF	CT1		C:\AWS PDM\AWS\	AWS-A-003306	Default		1.6	14/02/2020						2	-	
1.1.1.1.12.1.1.1	              		1	Sheet	MS - GR250												Default		1.6							2		
1.1.1.1.12.1.2	            DIN 929-M8-N		4	M8 HEX WELD NUT - DIN 929	Mild Steel	NATURAL			Fasteners						C:\AWS PDM\Solidworks Data\Toolbox\browser\AWS Toolbox\nuts\Weld Nuts\	weld nut 01_1_din	DIN 929-M8-N		0.0			Costless Bolts						
